organisation,title,description,skills_required,city,commitment_level,remote
Youth Horizons,Social Media Outreach Specialist,"Create and manage engaging social media content to raise awareness for the organization. Help grow online communities and networks.","social_media_management, graphic_design, writing",Leicester,Short-term,No
Animal Shelter Alliance,Workshop Facilitator,"Plan and lead interactive workshops on topics such as sustainability or skill-building. Foster an engaging learning environment.","workshop_facilitation, teaching, public_speaking",Cambridge,Long-term,Yes
Animal Shelter Alliance,Workshop Facilitator,"Plan and lead interactive workshops on topics such as sustainability or skill-building. Foster an engaging learning environment.","workshop_facilitation, teaching, public_speaking",Bristol,Long-term,No
Eco-Warriors,Workshop Facilitator,"Plan and lead interactive workshops on topics such as sustainability or skill-building. Foster an engaging learning environment.","workshop_facilitation, teaching, public_speaking",Birmingham,Long-term,Yes
Animal Shelter Alliance,Fundraising Campaign Assistant,"Help design and run fundraising campaigns to support community projects. Assist with outreach and donor engagement.","fundraising, community_outreach",Norwich,Short-term,Yes
Animal Shelter Alliance,Fundraising Campaign Assistant,"Help design and run fundraising campaigns to support community projects. Assist with outreach and donor engagement.","fundraising, community_outreach",Manchester,Ongoing,Yes
Animal Shelter Alliance,Social Media Outreach Specialist,"Create and manage engaging social media content to raise awareness for the organization. Help grow online communities and networks.","social_media_management, graphic_design, writing",London,Long-term,Yes
Community Builders,First Aid Trainer,"Train volunteers and community members in basic first aid and CPR techniques. Ensure participants are prepared for emergencies.","first_aid, workshop_facilitation",Edinburgh,Short-term,Yes
Green Earth Initiative,Environmental Conservation Leader,"Lead efforts to clean up local parks and green spaces. Educate participants on the importance of sustainability.","environmental_conservation, sustainability_projects, community_outreach",Cambridge,Short-term,Yes
Green Earth Initiative,Community Tree Planting Coordinator,"Organize local tree planting events to combat climate change. Work with volunteers to ensure trees are planted and cared for properly.","gardening, community_outreach",Manchester,Short-term,No
Youth Horizons,First Aid Trainer,"Train volunteers and community members in basic first aid and CPR techniques. Ensure participants are prepared for emergencies.","first_aid, workshop_facilitation",Manchester,Short-term,Yes
Green Earth Initiative,Workshop Facilitator,"Plan and lead interactive workshops on topics such as sustainability or skill-building. Foster an engaging learning environment.","workshop_facilitation, teaching, public_speaking",Aberdeen,Ongoing,No
Health Advocates UK,Pet Adoption Event Assistant,"Assist in organizing adoption events for rescued animals. Engage with potential adopters to find loving homes for pets.","event_planning, animal_care, public_speaking",Oxford,Short-term,No
Health Advocates UK,Graphic Designer Volunteer,"Create visual materials such as posters and social media graphics to promote the organization's mission and activities.","graphic_design, writing",Nottingham,Short-term,Yes
Community Builders,Graphic Designer Volunteer,"Create visual materials such as posters and social media graphics to promote the organization's mission and activities.","graphic_design, writing",Glasgow,Long-term,No
Arts for All,Environmental Conservation Leader,"Lead efforts to clean up local parks and green spaces. Educate participants on the importance of sustainability.","environmental_conservation, sustainability_projects, community_outreach",Birmingham,One-time,Yes
Health Advocates UK,Social Media Outreach Specialist,"Create and manage engaging social media content to raise awareness for the organization. Help grow online communities and networks.","social_media_management, graphic_design, writing",Leicester,Long-term,Yes
Community Builders,Social Media Outreach Specialist,"Create and manage engaging social media content to raise awareness for the organization. Help grow online communities and networks.","social_media_management, graphic_design, writing",Southampton,One-time,Yes
Tech Support Volunteers,Mental Health Support Worker,"Provide support and a listening ear to individuals facing mental health challenges. Work closely with trained professionals.","mental_health_support, advocacy",Birmingham,Ongoing,Yes
